Rank,Feature,Importance
1,SYMPT-fatigue___2,0.242
2,SYMPT-shortness_of_breath_dyspne___2,0.1566
3,SYMPT-loss_of_taste_lost_of_smel___2,0.0913
4,SYMPT-cough___2,0.0859
5,SYMPT-dizziness___2,0.0811
6,SYMPT-joint_pain_arthralgia___2,0.0685
7,SYMPT-headache___2,0.0533
8,SYMPT-muscle_aches_myalgia___2,0.0475
9,age,0.0324
10,SYMPT-chest_pain___2,0.0274
11,SYMPT-extremity_weakness_or_numb___2,0.0237
12,SYMPT-nausea_vomiting___2,0.0101
13,SYMPT-loss_of_appetite___2,0.0096
14,SYMPT-abdominal_pain___2,0.0095
15,SYMPT-leg_swelling_edema___2,0.0079
16,SYMPT-cough___1,0.0068
17,SYMPT-sore_throat___2,0.0065
18,SYMPT-fatigue___1,0.0056
19,SYMPT-sore_throat___1,0.0054
20,SYMPT-confusion_altered_mental_s___2,0.0052
21,SYMPT-diarrhea___2,0.0049
22,SYMPT-dizziness___1,0.0047
23,SYMPT-headache___1,0.004
24,SYMPT-fever_38_0oc___1,0.0038
25,SYMPT-skin_rash___2,0.0034
26,SYMPT-fever_38_0oc___2,0.0028
