Rank,Feature,Importance
1,SYMPT-extremity_weakness_or_numb___2,0.1545
2,SYMPT-shortness_of_breath_dyspne___2,0.1154
3,SYMPT-dizziness___2,0.0979
4,SYMPT-headache___2,0.0848
5,SYMPT-joint_pain_arthralgia___2,0.0644
6,SYMPT-fatigue___2,0.0632
7,age,0.0561
8,SYMPT-confusion_altered_mental_s___2,0.0556
9,SYMPT-muscle_aches_myalgia___2,0.0551
10,SYMPT-loss_of_appetite___2,0.053
11,SYMPT-diarrhea___2,0.0473
12,SYMPT-skin_rash___2,0.0256
13,SYMPT-leg_swelling_edema___2,0.0232
14,SYMPT-nausea_vomiting___2,0.0197
15,SYMPT-abdominal_pain___2,0.0163
16,SYMPT-dizziness___1,0.0122
17,SYMPT-sore_throat___2,0.0097
18,SYMPT-fatigue___1,0.0094
19,SYMPT-headache___1,0.0087
20,SYMPT-loss_of_taste_lost_of_smel___2,0.0075
21,SYMPT-cough___1,0.0066
22,SYMPT-sore_throat___1,0.0051
23,SYMPT-fever_38_0oc___1,0.0047
24,SYMPT-fever_38_0oc___2,0.0024
25,SYMPT-chest_pain___2,0.0015
26,SYMPT-cough___2,0.0
