Rank,Feature,Importance
1,SYMPT-fatigue___2,0.3351
2,SYMPT-shortness_of_breath_dyspne___2,0.1901
3,SYMPT-loss_of_taste_lost_of_smel___2,0.1531
4,SYMPT-cough___2,0.0715
5,SYMPT-headache___2,0.0638
6,SYMPT-joint_pain_arthralgia___2,0.0425
7,SYMPT-muscle_aches_myalgia___2,0.0338
8,SYMPT-dizziness___2,0.021
9,SYMPT-chest_pain___2,0.0161
10,SYMPT-loss_of_appetite___2,0.0136
11,SYMPT-nausea_vomiting___2,0.0119
12,SYMPT-extremity_weakness_or_numb___2,0.0116
13,age,0.0075
14,SYMPT-diarrhea___2,0.0063
15,SYMPT-confusion_altered_mental_s___2,0.0054
16,SYMPT-abdominal_pain___2,0.0043
17,SYMPT-leg_swelling_edema___2,0.0038
18,SYMPT-sore_throat___2,0.0032
19,SYMPT-skin_rash___2,0.0012
20,SYMPT-fever_38_0oc___1,0.0011
22,SYMPT-sore_throat___1,0.0006
22,SYMPT-headache___1,0.0006
22,SYMPT-fatigue___1,0.0006
22,SYMPT-cough___1,0.0006
25,SYMPT-dizziness___1,0.0005
26,SYMPT-fever_38_0oc___2,0.0002
