Rank,Feature,Importance
1,age,0.6986
2,SYMPT-shortness_of_breath_dyspne___2,0.0707
3,SYMPT-joint_pain_arthralgia___2,0.0504
4,SYMPT-loss_of_taste_lost_of_smel___2,0.0401
5,SYMPT-sore_throat___2,0.0297
6,SYMPT-dizziness___1,0.0152
7,SYMPT-dizziness___2,0.0139
8,SYMPT-fatigue___2,0.0109
8,SYMPT-muscle_aches_myalgia___2,0.0109
10,SYMPT-extremity_weakness_or_numb___2,0.0086
11,SYMPT-cough___2,0.0077
12,SYMPT-abdominal_pain___2,0.0061
13,SYMPT-skin_rash___2,0.0058
14,SYMPT-fatigue___1,0.0053
15,SYMPT-headache___2,0.0051
16,SYMPT-loss_of_appetite___2,0.0042
16,SYMPT-chest_pain___2,0.0042
18,SYMPT-nausea_vomiting___2,0.0041
19,SYMPT-cough___1,0.0024
20,SYMPT-headache___1,0.0023
21,SYMPT-diarrhea___2,0.0021
22,SYMPT-fever_38_0oc___1,0.0013
23,SYMPT-leg_swelling_edema___2,0.0003
25,SYMPT-fever_38_0oc___2,0.0
25,SYMPT-confusion_altered_mental_s___2,0.0
25,SYMPT-sore_throat___1,0.0
