Rank,Feature,Importance
1,age,0.2684
2,SYMPT-cough___2,0.2569
3,SYMPT-shortness_of_breath_dyspne___2,0.0588
4,SYMPT-dizziness___2,0.0525
5,SYMPT-fatigue___1,0.0362
6,SYMPT-confusion_altered_mental_s___2,0.0347
7,SYMPT-chest_pain___2,0.0342
8,SYMPT-leg_swelling_edema___2,0.0321
9,SYMPT-diarrhea___2,0.0275
10,SYMPT-cough___1,0.0266
11,SYMPT-loss_of_appetite___2,0.0262
12,SYMPT-sore_throat___2,0.0205
13,SYMPT-fatigue___2,0.0179
14,SYMPT-headache___2,0.0149
15,SYMPT-headache___1,0.0147
16,SYMPT-dizziness___1,0.0144
17,SYMPT-extremity_weakness_or_numb___2,0.0139
18,SYMPT-muscle_aches_myalgia___2,0.0135
19,SYMPT-loss_of_taste_lost_of_smel___2,0.0116
20,SYMPT-fever_38_0oc___2,0.0096
21,SYMPT-sore_throat___1,0.0057
22,SYMPT-nausea_vomiting___2,0.0046
23,SYMPT-fever_38_0oc___1,0.0045
25,SYMPT-abdominal_pain___2,0.0
25,SYMPT-joint_pain_arthralgia___2,0.0
25,SYMPT-skin_rash___2,0.0
