Rank,Feature,Importance
1,SYMPT-fatigue___2,0.3152
2,SYMPT-shortness_of_breath_dyspne___2,0.1886
3,SYMPT-loss_of_taste_lost_of_smel___2,0.1476
4,SYMPT-headache___2,0.0652
5,SYMPT-cough___2,0.0611
6,SYMPT-joint_pain_arthralgia___2,0.0472
7,SYMPT-muscle_aches_myalgia___2,0.0355
8,SYMPT-dizziness___2,0.0257
9,age,0.0194
10,SYMPT-loss_of_appetite___2,0.0146
11,SYMPT-chest_pain___2,0.0141
12,SYMPT-extremity_weakness_or_numb___2,0.014
13,SYMPT-nausea_vomiting___2,0.011
14,SYMPT-diarrhea___2,0.0066
15,SYMPT-confusion_altered_mental_s___2,0.0054
16,SYMPT-sore_throat___2,0.0051
17,SYMPT-leg_swelling_edema___2,0.0041
18,SYMPT-abdominal_pain___2,0.0038
19,SYMPT-dizziness___1,0.0031
20,SYMPT-fatigue___1,0.0025
20,SYMPT-cough___1,0.0025
22,SYMPT-fever_38_0oc___1,0.0024
23,SYMPT-sore_throat___1,0.0023
24,SYMPT-skin_rash___2,0.0016
25,SYMPT-headache___1,0.0014
26,SYMPT-fever_38_0oc___2,0.0001
