Rank,Feature,Importance
1,SYMPT-fatigue___2,0.3098
2,SYMPT-shortness_of_breath_dyspne___2,0.1788
3,SYMPT-loss_of_taste_lost_of_smel___2,0.1251
4,SYMPT-headache___2,0.0797
5,SYMPT-cough___2,0.0612
6,SYMPT-muscle_aches_myalgia___2,0.0414
7,SYMPT-joint_pain_arthralgia___2,0.0379
8,SYMPT-dizziness___2,0.0306
9,SYMPT-chest_pain___2,0.0267
10,age,0.0205
11,SYMPT-confusion_altered_mental_s___2,0.0126
12,SYMPT-nausea_vomiting___2,0.0123
13,SYMPT-loss_of_appetite___2,0.0111
14,SYMPT-extremity_weakness_or_numb___2,0.0093
15,SYMPT-leg_swelling_edema___2,0.0063
16,SYMPT-dizziness___1,0.0061
17,SYMPT-abdominal_pain___2,0.0052
18,SYMPT-sore_throat___2,0.005
19,SYMPT-sore_throat___1,0.0035
20,SYMPT-diarrhea___2,0.0031
21,SYMPT-fever_38_0oc___1,0.0029
22,SYMPT-fatigue___1,0.0025
23,SYMPT-cough___1,0.0024
23,SYMPT-headache___1,0.0024
25,SYMPT-fever_38_0oc___2,0.0021
26,SYMPT-skin_rash___2,0.0017
